Week,Model,Prompt,Bet_Type,Recommendation,Stake,Game,Outcome,Return,P/L
9,ChatGPT,1,Spread,KC -1.5,$6.00,Chiefs vs Bills,LOSS,$0.00,$-6.00
9,ChatGPT,1,Moneyline,49ers ML,$6.00,49ers vs Giants,WIN,$11.45,$+5.45
9,ChatGPT,1,Total,UNDER 48.5,$4.00,49ers vs Giants,LOSS,$0.00,$-4.00
9,ChatGPT,1,Total,49ers/Giants UNDER 48.5,$10.00,49ers vs Giants,LOSS,$0.00,$-10.00
9,ChatGPT,2,Prop,Tua O1.5 pass TDs,$10.00,Ravens vs Dolphins,LOSS,$0.00,$-10.00
9,ChatGPT,2,Prop,Lamar 60+ rush yds + TD,$10.00,Ravens vs Dolphins,LOSS,$0.00,$-10.00
9,ChatGPT,3,Total,OVER 47.5,$11.00,Vikings vs Lions,WIN,$21.00,$+10.00
9,ChatGPT,4,Spread,Packers -12.5,$11.00,Packers vs Panthers,LOSS,$0.00,$-11.00
9,ChatGPT,5,Prop,Stroud O1.5 pass TDs,$11.00,Texans vs Broncos,WIN,$21.00,$+10.00
9,ChatGPT,5,Prop,Stroud U231.5 pass yds,$11.00,Texans vs Broncos,WIN,$21.00,$+10.00
9,Claude,1,Spread,Bills +1.5,$7.00,Chiefs vs Bills,WIN,$13.36,$+6.36
9,Claude,1,Spread,49ers -2.5,$6.00,49ers vs Giants,WIN,$11.45,$+5.45
9,Claude,1,Total,UNDER 51.5,$3.00,Chiefs vs Bills,WIN,$5.73,$+2.73
9,Claude,1,Total,OVER 51.5,$4.00,Chiefs vs Bills,LOSS,$0.00,$-4.00
9,Claude,2,Prop,D. Henry O87.5 rush yds,$10.00,Ravens vs Dolphins,WIN,$19.09,$+9.09
9,Claude,2,Prop Parlay,Lamar O1.5 TDs + rush TD,$5.00,Ravens vs Dolphins,LOSS,$0.00,$-5.00
9,Claude,2,Prop,Tua O216.5 pass yds,$5.00,Ravens vs Dolphins,WIN,$9.55,$+4.55
9,Claude,3,Total,UNDER 47.5,$11.00,Vikings vs Lions,LOSS,$0.00,$-11.00
9,Claude,4,Spread,Packers -12.5,$11.00,Packers vs Panthers,LOSS,$0.00,$-11.00
9,Claude,5,Prop,Nix O205.5 pass yds,$11.00,Texans vs Broncos,WIN,$21.00,$+10.00
9,Claude,5,Prop,Nik Bonitto anytime sack,$11.00,Texans vs Broncos,LOSS,$0.00,$-11.00
9,Claude,5,Prop,Sutton O58.5 rec yds,$11.00,Texans vs Broncos,WIN,$21.00,$+10.00
9,Gemini,1,Spread,Chiefs -1.5,$10.00,Chiefs vs Bills,LOSS,$0.00,$-10.00
9,Gemini,1,Total,Chiefs/Bills OVER 51.5,$10.00,Chiefs vs Bills,LOSS,$0.00,$-10.00
9,Gemini,1,Spread,49ers -2.5,$10.00,49ers vs Giants,WIN,$19.09,$+9.09
9,Gemini,1,Total,UNDER 48.5,$4.00,49ers vs Giants,LOSS,$0.00,$-4.00
9,Gemini,2,Prop,Lamar O35.5 rush yds,$10.00,Ravens vs Dolphins,WIN,$19.09,$+9.09
